つっかえ棒のように足先とひざで固定する動きは？,ニーパー,手に足,キャンパー,ガストン,ニーパー
足を使わずに手だけで登る動きは？,キャンパー,キョン,ダイノ,フラッキング,キャンパー
壁に足をこすりつけて安定させる動きは？,スメア,フラッキング,キャンパー,ランジ,スメア
身体を引き付けた勢いを使って、一瞬無重力状態を作り、ホールドを取りに行く動きは？,デッド,キョン,フラッキング,キャンパー,デッド
手で掴んでいるホールドに足をのせる動きは？,手に足,ニーパー,リップ,ラップ,手に足
ジャンプして両手でホールドを取りに行く動きは？,ダブルダイノ,フラッキング,サイファー,レイバック,ダブルダイノ
傾斜のきつい壁から傾斜が緩くなる壁に乗りあがる動きは？,マントル,トップアウトデッド,ランジ,レイバック,マントル
連続的に手足を出していくような動きは？,コーディネーション,バルジ,サイファー,フラッキング,コーディネーション
縦向きのホールド持ったときに、横向きになり、腕の引く力と足の踏ん張る力がつり合うことでバランスを取る動きは？,レイバック,コーディネーション,キャンパー,キョン,レイバック
脚を振り子のように大きく振って、勢いをつけて飛び出したり手をだす動きは？,サイファー,ダイノ,フラッキング,キャンパー,サイファー
